city,newcity1,newcountry1
lakewood (village of),lakewood,village of
lakewood ranch,lakewood ranch,
lakewood ranch&#44bradenton,lakewood ranch44bradenton,
lakewood/denver,lakewooddenver,
lakewood/dupont (between),lakewooddupont,
lakewood/south gate/lnywood  (105 east freeway),lakewoodsouth gatelnywood,
lakin,lakin,
lakinsk (russia),lakinsk,russia
lamar,lamar,
lamar ((laa)&#44 (ne of&#44 fl310&#44 10 deg. above hor.),lamar,
lamar/las animas,lamarlas animas,
lamartine,lamartine,
lambertville,lambertville,
lame deer,lame deer,
lameque (canada),lameque,canada
lamesa,lamesa,
lamoille (above),lamoille,above
lamoine,lamoine,
lamoni,lamoni,
lamont,lamont,
lampasas,lampasas,
lampertheim (germany),lampertheim,germany
lampeter (uk/wales),lampeter,uk
lamprechtshausen (austria),lamprechtshausen,austria
lamy,lamy,
lanagan,lanagan,
lancashire (uk/england),lancashire,uk
lancashire county (uk/england),lancashire county,uk
lancaster,lancaster,
lancaster (cantsfield) (uk/england),lancaster,cantsfield uk
lancaster (near edwards air force base),lancaster,near edwards air force base
lancaster (saddleback butte park),lancaster,saddleback butte park
lancaster (southwest),lancaster,southwest
lancaster (uk/england),lancaster,uk
lancaster (uk/england).,lancaster,uk
lancaster county,lancaster county,
lancaster county (south of willow street),lancaster county,south of willow street
lancaster/freemont,lancasterfreemont,
lancster,lancster,
land between the lakes,land between the lakes,
land o&#39lakes,land o39lakes,
lander,lander,
landers,landers,
landingville,landingville,
landis,landis,
landisville,landisville,
landover,landover,
landover (raljon),landover,raljon
landover hills,landover hills,
landsdale (15 mi. n of; on northeast extension),landsdale,
lane,lane,
lanesville,lanesville,
lanett,lanett,
lanexa,lanexa,
langdon,langdon,
langdon (canada),langdon,canada
langebaan (south africa),langebaan,south africa
langehorne,langehorne,
langenleiten (germany),langenleiten,germany
langford (canada),langford,canada
langford (uk/england),langford,uk
langhorne,langhorne,
langhorne (bermuda),langhorne,bermuda
langle (canada),langle,canada
langley,langley,
langley (canada),langley,canada
langley air force base,langley air force base,
langlois,langlois,
lanham,lanham,
lanigan (canada),lanigan,canada
lanley (canada),lanley,canada
lannoy (north part of france),lannoy,france
lanoka harbor,lanoka harbor,
lansdale,lansdale,
lansdale (on highway),lansdale,on highway
lansdowne house (canada),lansdowne house,canada
lansing,lansing,
lansing (few miles northwest of&#44 in the country),lansing,few miles northwest of44 in the country
lansing (just west of&#44 on i-96 heading west),lansing,just west of44 on i96 heading west
lanson,lanson,
lansvale (sydney) (nsw&#44 australia),lansvale,australia
lantana,lantana,
lantana/lake worth,lantanalake worth,
lanzarote (canary islands),lanzarote,canary islands
laoag (philippines),laoag,philippines
laona,laona,
laotto,laotto,
lapeer,lapeer,
lapeer and flint,lapeer and flint,
lapine,lapine,
laplata,laplata,
laport,laport,
laporte,laporte,
laprairie (montreal) (canada),laprairie,montreal canada
lapu-lapu (philippines),lapulapu,philippines
laramie,laramie,
laramie (25 miles north of),laramie,25 miles north of
laramie (east of),laramie,east of
laramie (south of),laramie,south of
laramie/wamsutter (between),laramiewamsutter,
larchmont,larchmont,
larchwood,larchwood,
laredo,laredo,
lares (puerto rico),lares,puerto rico
lareto (baja mexico),lareto,mexico
largo,largo,
larkhall (near glasgow) (uk/scotland),larkhall,near glasgow uk
larkhall (uk/scotland),larkhall,uk
larkspur,larkspur,
larksville,larksville,
larnca (cyprus),larnca,
larne (northern ireland),larne,ireland
larned,larned,
larose,larose,
larsen,larsen,
las americas (tenerife&#44 canary islands),las americas,canary islands
las animas,las animas,
las begas,las begas,
las cruces,las cruces,
las cruces (on interstate 10&#44west of),las cruces,
las pinas (philippines),las pinas,philippines
las vegan,las vegan,
las vegas,las vegas,
las vegas (30 miles north of),las vegas,30 miles north of
las vegas (60-70 miles north-east of&#44 interstate 15 north),las vegas,
las vegas (70 miles from),las vegas,70 miles from
las vegas (??),las vegas,
las vegas (about 60 miles outside of),las vegas,about 60 miles outside of
las vegas (approx 200 mi north of),las vegas,approx 200 mi north of
las vegas (close to az/ca border),las vegas,close to az
las vegas (close to),las vegas,close to
las vegas (desert outside of),las vegas,desert outside of
las vegas (east of),las vegas,east of
las vegas (leaving; near baker),las vegas,leaving near baker
las vegas (near),las vegas,near
las vegas (north of),las vegas,north of
las vegas (north),las vegas,north
las vegas (northwest),las vegas,northwest
las vegas (outside of),las vegas,outside of
las vegas (over),las vegas,over
las vegas (se of),las vegas,se of
las vegas (south of),las vegas,south of
las vegas (western; i-40&#44 mm 264),las vegas,western i4044 mm 264
las vegas blvd.,las vegas blvd,
las vegas&#44 nevada&#44 airspace,las vegas44 nevada44 airspace,
las vegas/charleston heights,las vegascharleston heights,
las vegas/henderson,las vegashenderson,
las vegas/montezuma,las vegasmontezuma,
las vegas/nellis afb,las vegasnellis afb,
las vegas/rachel (between,las vegasrachel,
las vegas/truth or consequences (between),las vegastruth or consequences,
lasalle,lasalle,
lasalle (canada),lasalle,canada
lashmeet,lashmeet,
lassen national forest,lassen national forest,
last chance,last chance,
latham,latham,
latham/watervliet,lathamwatervliet,
lathorp (near manteca),lathorp,
lathrop,lathrop,
latonia,latonia,
latrobe,latrobe,
latta,latta,
laude,laude,
lauderdale-by-the-sea,lauderdalebythesea,
lauderhill,lauderhill,
laufen bl (switzerland),laufen bl,switzerland
laughlin,laughlin,
laughlin/bullhead city,laughlinbullhead city,
lauglintown,lauglintown,
launceston (australia),launceston,australia
launceston (tas&#44 australia),launceston,tas44 australia
launceston (uk/england),launceston,uk
laundstuhl (germany),laundstuhl,germany
laura,laura,
laurel,laurel,
laurel hill,laurel hill,
laurel springs,laurel springs,
laurel/hattiesburg (between),laurelhattiesburg,
laurelville,laurelville,
laurence harbor,laurence harbor,
laurens,laurens,
laurie,laurie,
laurie (5 mi. w of; 52 mile marker on osage),laurie,5 mi w of 52 mile marker on osage
laurinburg,laurinburg,
lava hot springs,lava hot springs,
laval (canada),laval,canada
laval (france),laval,france
lavale,lavale,
lavalette,lavalette,
laveen,laveen,
lavergne,lavergne,
lavigne (canada),lavigne,canada
lavina (near),lavina,near
lavon,lavon,
lavonia,lavonia,
lavras (minas gerais) (brazil),lavras,brazil
lavrio (greece),lavrio,greece
lawai,lawai,
lawara (afghanistan),lawara,afghanistan
lawdale,lawdale,
lawerenceville,lawerenceville,
lawley,lawley,
lawndale,lawndale,
lawrencbeurg,lawrencbeurg,
lawrence,lawrence,
lawrence county (rural agriculture field),lawrence county,rural agriculture field
lawrenceburg,lawrenceburg,
lawrenceville,lawrenceville,
lawrenceville/grayson area,lawrencevillegrayson area,
lawton,lawton,
lawton (bankson lake),lawton,bankson lake
lawton (outside of),lawton,outside of
layton,layton,
layton to farmington,layton to farmington,
layton&#44 roy&#44 ogden areas,layton44 roy44 ogden areas,
laytonville,laytonville,
le mans (france),le mans,france
le pegue (france),le pegue,france
lead,lead,
leadgate (uk/england),leadgate,uk
leadville,leadville,
leadville (near),leadville,near
league city,league city,
leakey,leakey,
leaky,leaky,
leamington (canada),leamington,canada
leamington spa (uk/england),leamington spa,uk
leander,leander,
leasburg,leasburg,
leatherwood,leatherwood,
leavenworth,leavenworth,
leawood,leawood,
lebanon,lebanon,
lebanon church,lebanon church,
lebanon jct.,lebanon jct,
lebanon/brownsville,lebanonbrownsville,
lebanon/centerville,lebanoncenterville,
lebec,lebec,
lebo,lebo,
leburn,leburn,
lecce (italy),lecce,italy
leclaire,leclaire,
lecompte,lecompte,
ledbetter,ledbetter,
ledegem (belgium),ledegem,belgium
ledgewood,ledgewood,
leduc (canada),leduc,canada
leduc (while driving on highway 2),leduc,
lee,lee,
lee center,lee center,
lee park,lee park,
lee vining,lee vining,
lee vining (mt. warren),lee vining,mt warren
lee vining (north of),lee vining,north of
lee&#39s summit,lee39s summit,
lee&#39s summit (suburb of k.c.),lee39s summit,
leeds,leeds,
leeds (outside birmingham),leeds,outside birmingham
leeds (uk/england),leeds,uk
leeds (west yorkshire) (uk/england),leeds,west yorkshire uk
leeds&#44 west yorks (uk/england),leeds44 west yorks,uk
lees summit,lees summit,
leesburg,leesburg,
leesport,leesport,
leesville,leesville,
leet,leet,
leeton (australia),leeton,australia
leetsdale,leetsdale,
lefroy (canada),lefroy,canada
leftwich/northwich (uk/england),leftwichnorthwich,uk
leggett,leggett,
legrand,legrand,
legrange,legrange,
lehi,lehi,
lehigh,lehigh,
lehigh acers,lehigh acers,
lehigh acres,lehigh acres,
lehigh acres/fort myers,lehigh acresfort myers,
lehighton,lehighton,
leicester,leicester,
leicester (uk/england),leicester,uk
leicestershire (uk/england),leicestershire,uk
leicestershre (uk/england),leicestershre,uk
leiden (netherlands),leiden,netherlands
leigh (uk/england),leigh,uk
leigh acres,leigh acres,
leigh-on-sea (uk/england),leighonsea,uk
leighton,leighton,
leighton (la grange mountain),leighton,la grange mountain
leighton buzzard (uk/england),leighton buzzard,uk
leipsic,leipsic,
leirfjord (over) (norway),leirfjord,norway
leister (uk/england),leister,uk
leitchfield,leitchfield,
leland,leland,
lelystad,lelystad,
lelystad (netherlands),lelystad,netherlands
lemars,lemars,
lemars (ia)/denver (co) (uncertain; traveling from),lemars,
lemington (uk/england),lemington,uk
lemitar,lemitar,
lemon grove,lemon grove,
lemont,lemont,
lemoore,lemoore,
lemoore naval air force base (sic),lemoore naval air force base,
lemoore/hanford,lemoorehanford,
lemoore/i-5 corridor,lemoorei5 corridor,
lempster,lempster,
lena,lena,
lenexa,lenexa,
lenexa (greater kansas city metro area),lenexa,greater kansas city metro area
lenior city,lenior city,
lennox,lennox,
lennox head (australia),lennox head,australia
lenoir,lenoir,
lenoir city,lenoir city,
lenore,lenore,
lenox,lenox,
lenox (general area),lenox,general area
lenwood,lenwood,
lenzburg,lenzburg,
lenzie (uk/scotland),lenzie,uk
leo/laotto/garrett,leolaottogarrett,
leola,leola,
leominster,leominster,
leon,leon,
leon valley,leon valley,
leonard,leonard,
leonardo,leonardo,
leonardtown,leonardtown,
leroy,leroy,
leroy township,leroy township,
les avenieres&#44 buvin (france),les avenieres44 buvin,france
les escoumins (canada),les escoumins,canada
lesage,lesage,
lesage (near),lesage,near
leslie,leslie,
leslie county,leslie county,
lesser slave lake (canada),lesser slave lake,canada
lesslie,lesslie,
lesueur,lesueur,
letart,letart,
letchworth (uk/england),letchworth,uk
lethbrdge (canada),lethbrdge,canada
lethbridge (alberta) (canada),lethbridge,alberta canada
lethbridge (canada),lethbridge,canada
lethbridge (northwest of about 12 miles) (canada),lethbridge,
lettsworth,lettsworth,
leupp,leupp,
leupp/flagstaff (between),leuppflagstaff,
leusden (netherlands),leusden,netherlands
leuven (belgium),leuven,belgium
levan (yuba state park),levan,yuba state park
level cross,level cross,
leveland,leveland,
levelland,levelland,
leven (uk/england),leven,uk
leven (uk/scotland),leven,uk
levering,levering,
levitown,levitown,
levittown,levittown,
lewes,lewes,
lewis center,lewis center,
lewisburg,lewisburg,
lewiston,lewiston,
lewiston (near),lewiston,near
lewistown,lewistown,
lewisville,lewisville,
lewisville lake,lewisville lake,
lewisville lake (se) (north of dallas),lewisville lake,us
lewisville tx,lewisville tx,
lewniowa (poland),lewniowa,poland
lexingon heights,lexingon heights,
lexingtob,lexingtob,
lexington,lexington,
lexington (west of),lexington,west of
lexington to cincinnati (between; highway i-74),lexington to cincinnati,
lextington (clearfork resivior),lextington,
leyland&#44 lancashire (uk/england),leyland44 lancashire,uk
libby,libby,
liberal,liberal,
liberty,liberty,
liberty boro,liberty boro,
liberty county (on highway),liberty county,
liberty county (rural area in),liberty county,
liberty hill,liberty hill,
liberty homes (near charleston),liberty homes,
liberty lake,liberty lake,
liberty state park,liberty state park,
liberty township,liberty township,
liberty twp,liberty twp,
libertyville,libertyville,
libya,libya,
lichfield (near); staffordshire (uk/england),lichfield,near staffordshire uk
lichfield (uk/england),lichfield,uk
licking,licking,
lido beach,lido beach,
lierskogen (norway),lierskogen,norway
lighthouse point,lighthouse point,
ligonier,ligonier,
lihue,lihue,
lihue (kauai),lihue,kauai
likely,likely,
lilburn,lilburn,
lillington,lillington,
lily,lily,
lima,lima,
lima (just south of mile marker 117),lima,
limassol,limassol,
limassol (cyprus),limassol,
limerick,limerick,
limerick/pottstown,limerickpottstown,
limestone,limestone,
limestone (loring afb),limestone,loring afb
limington/naples,limingtonnaples,
limon,limon,
limon (near),limon,near
lincoln,lincoln,
lincoln (approx 3 miles east of&#44 on hwy 193),lincoln,
lincoln (east of),lincoln,east of
lincoln (lincolnshire) (uk/england),lincoln,lincolnshire uk
lincoln (near),lincoln,near
lincoln (near) (uk/england),lincoln,near uk
lincoln (uk/england),lincoln,uk
lincoln (west of),lincoln,west of
lincoln beach,lincoln beach,
lincoln city,lincoln city,
lincoln city (north of),lincoln city,north of
lincoln city/albany (between),lincoln cityalbany,
lincoln city/newport (between&#44 otter crest),lincoln citynewport,
lincoln county,lincoln county,
lincoln heights,lincoln heights,
lincoln park,lincoln park,
lincoln&#44 lincolnshire (uk/england),lincoln44 lincolnshire,uk
lincolnshire,lincolnshire,
lincolnshire (uk/england),lincolnshire,uk
lincolnton,lincolnton,
lincolnville,lincolnville,
lincon city,lincon city,
lincroft,lincroft,
lind,lind,
lindale,lindale,
linden,linden,
linden/avis,lindenavis,
lindenhurst,lindenhurst,
lindenhurst (long island),lindenhurst,long island
lindenwold,lindenwold,
lindon,lindon,
lindsay,lindsay,
lindsay (canada),lindsay,canada
lindsborg,lindsborg,
lindsborg to lyons,lindsborg to lyons,
lindsey (canada),lindsey,canada
lindstrom,lindstrom,
linesville,linesville,
linfield,linfield,
linglestown,linglestown,
linlithgow (west  lothian) (uk/scotland),linlithgow,west lothian uk
linn (outside of),linn,outside of
linn creek,linn creek,
lino lakes,lino lakes,
linoir city,linoir city,
linthicum,linthicum,
linthicum (bwi airport),linthicum,bwi airport
linthicum heights (bwi airport),linthicum heights,bwi airport
linton,linton,
linville,linville,
linwood,linwood,
lion&#39s head (canada),lion39s head,canada
lipan (sw of),lipan,sw of
lipton (canada),lipton,canada
lisbon,lisbon,
lisbon falls,lisbon falls,
lisburn (northern ireland),lisburn,ireland
lisieux (france),lisieux,france
lisle,lisle,
listowel (canada),listowel,canada
litchfield,litchfield,
litchfield beach,litchfield beach,
litchfield park,litchfield park,
litha,litha,
lithgow (nsw&#44 australia),lithgow,nsw44 australia
lithia,lithia,
lithia springs,lithia springs,
lithiona,lithiona,
lithonia,lithonia,
lititz,lititz,
little axe,little axe,
little big horn,little big horn,
